,Quesiton,Correct Answer,Level,Category,Type,Skills,Answer Description
,Which of the following is true for Co-branding :,A,M,Theory,Single Choice,Marketing:Brand Management,
, It is an alliance between Complementary brands,,,,,,
, It is an alliance between similar brands,,,,,,
, many products are associated with a single brand,,,,,,
, It is done for a new product,,,,,,
,,,,,,,
,Slotting allowances is:,B,M,Theory,Single Choice,Marketing:Distribution,
, making distributor pay for the shelf space,,,,,,
, making manufacturer pay for the shelf space,,,,,,
, making retailer pay for the shelf space,,,,,,
, making marketer pay for the shelf space,,,,,,
,,,,,,,
,Forward buying is :,B,H,Theory,Single Choice,Marketing:Distribution,
, Making consumers buy products on discounts,,,,,,
, Stocking products when they are provided at lower cost by the manufacturers,,,,,,
, the buying process from manufacturer to retailer to consumer,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is a strategy used by retailers to decrese the effect of promotions:,B,H,Theory,Single Choice,Marketing:Pricing Strategy,
, Discounts,,,,,,
, Everyday low pricing (EDLP),,,,,,
, Avertising,,,,,,
, Brand awareness,,,,,,
,,,,,,,
,Which of the following is not correct for advertisements:,B,M,Theory,Single Choice,Marketing:Advertising,
, they built long term profitability,,,,,,
, they built short term profitability,,,,,,
, helps in differentiation,,,,,,
, do not focus on price and discounts,,,,,,
,,,,,,,
,"In order to attack the other brands, which of the following techniques target the weak spots or gaps:",A,H,Theory,Single Choice,Marketing:Advertising,
, Flank attack,,,,,,
, Frontal attack,,,,,,
, Bypass Startegy,,,,,,
, Guerilla Strategy,,,,,,
,,,,,,,
,Which of the following is not related to Guerilla marketing?,B,M,Theory,Single Choice,Marketing:Consumer Marketing,
, Selectibe price cuts,,,,,,
, new product under new brand,,,,,,
, promotional blitzes,,,,,,
, legalactions,,,,,,
,,,,,,,
,Above the Line (ATL) advertising is:,B,M,Theory,Single Choice,Marketing:Advertising,
, one to one advertising,,,,,,
," include conventional media like television and radio advertising, print as well as internet",,,,,,
, involve product demos and samplings,,,,,,
," involves the distribution of pamphlets, handbills, stickers, promotions, brochures placed at point of sale, on the roads through banners and placards",,,,,,
,,,,,,,
,"Through the Line, or TTL is:",C,H,Theory,Single Choice,Marketing:Advertising,
, same as BTL,,,,,,
, same as ATL,,,,,,
, integrates both ATL and BTL activities,,,,,,
, None of the above,,,,,,
,,,,,,,
,Guerilla advertising targets at:,A,M,Theory,Single Choice,Marketing:Advertising,
, creating buzz,,,,,,
, Incresing sales,,,,,,
, Increasing market share,,,,,,
, increasing brand equity,,,,,,
,,,,,,,
,"Advertising on buses, billboards, hoardings etc is:",C,M,Theory,Single Choice,Marketing:Advertising,
, Out of Home (OOH),,,,,,
, Broadcast,,,,,,
, Outdoor,,,,,,
, Both a) and c),,,,,,
,,,,,,,
,The advertisemets where the prime objective is to inform and educate rather than to sell a product is:,D,H,Theory,Single Choice,Marketing:Advertising,
, Out of Home (OOH),,,,,,
, Broadcast,,,,,,
, Outdoor,,,,,,
, Public service advertisements,,,,,,
,,,,,,,
,"This markting techniques communicate on a much more personal level,generate a deeper level of emotional engagement, and result in better conversion rates, all at relatively low cost",A,M,Theory,Single Choice,Marketing:Digital Marketing,
, Digital marketing,,,,,,
, Social media marketing,,,,,,
, Experiential marketing,,,,,,
, Guerilla Strategy,,,,,,
,,,,,,,
,Marketing when you promote one product or service in the hopes of selling another,C,E,Theory,Single Choice,Marketing,
, Digital marketing,,,,,,
, Social media marketing,,,,,,
, Surrogate marketing,,,,,,
, Guerilla Strategy,,,,,,
