,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,What is lead time?,A,E,Theory,Single Choice,Operations:Mfg Operations,
, Time between order and delivery,,,,,,
, Time spent on manufacturing,,,,,,
, Average time between successive deliveries,,,,,,
, Time required to prepare an instrument/pre-requisites to carry out an operation,,,,,,
,,,,,,,
,What is cycle time?,C,E,Theory,Single Choice,Operations:Mfg Operations,
, Time between order and delivery,,,,,,
, Time spent on manufacturing,,,,,,
, Average time between successive deliveries,,,,,,
, None of the above,,,,,,
,,,,,,,
,What is flow time?,B,E,Theory,Single Choice,Operations:Mfg Operations,
, Time between order and delivery,,,,,,
, Time spent on manufacturing,,,,,,
, Average time between successive deliveries,,,,,,
, None of the above,,,,,,
,,,,,,,
,The slowest activity in a process which governs the output rate of the process,B,E,Theory,Single Choice,Operations:Supply Chain,
, Blocking,,,,,,
, Bottle neck,,,,,,
, Constraint,,,,,,
, Buffer,,,,,,
,,,,,,,
,Setup time is the time required to prepare an instrument/pre-requisites to carry out an operation,A,E,Reasoning,Single Choice,Operations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Sum of the setup time and run time for a batch of parts is the throughput time,B,E,Reasoning,Single Choice,Operations,
,TRUE,,,,,,
,FALSE,,,,,,
,,C,M,Theory,Single Choice,Operations:Lean,
,Starving occurs when ,,,,,,
, Occurs when the activities in a stage must stop because there is no place to deposit the item just completed,,,,,,
, Occurs when the inventory to be processed is too high,,,,,,
, Occurs when the activities in a stage must stop because there is no work,,,,,,
, None of the above,,,,,,
,,,,,,,
,Blocking occurs when ,A,M,Theory,Single Choice,Operations,
, Occurs when the activities in a stage must stop because there is no place to deposit the item just completed,,,,,,
, Occurs when the inventory to be processed is too high,,,,,,
, Occurs when the activities in a stage must stop because there is no work,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is not a part of carrying cost?,D,E,Theory,Single Choice,Operations,
, Shipping costs,,,,,,
, Maintenance cost,,,,,,
, Handling costs,,,,,,
, Order processing costs,,,,,,
,,,,,,,
,Which of the following is not a part of Toyota’s 14 management principles,C,H,Theory,Single Choice,Operations,
," Make decisions slowly by consensus, thoroughly considering all options implement decisions rapidly",,,,,,
, Level out workload,,,,,,
, Keep the machines running and the line moving to minimize the cost of each part,,,,,,
, Use only reliable thoroughly tested technology that serves your people andprocesses,,,,,,
,,,,,,,
,Activity duration in Critical path Method is ,B,M,Theory,Single Choice,Operations,
, Probabilistic,,,,,,
, Deterministic,,,,,,
, Stochastic,,,,,,
, None of the above,,,,,,
,,,,,,,
,Which of the following is captured in the Work Breakdown Structure (WBS)?,D,H,Theory,Single Choice,Operations,
,The life cycle phases,,,,,,
,The logical order of task,,,,,,
,The scope of the project,,,,,,
,Project Costs,,,,,,
,,,,,,,
,Which of the following float is exclusively available for the activity,C,H,Theory,Single Choice,Operations,
,Interfering Float,,,,,,
,Total Float,,,,,,
,Independent Float,,,,,,
,Free Float,,,,,,
,,,,,,,
,Famous personality in management science who brought psychology into the management science by studying the motivations of workers and how attitude affected the outcome of a process?,D,E,GK,Single Choice,Operations,
, Frederick W. Taylor,,,,,,
, Walter A. Shewhart,,,,,,
, W. Edwards Deming,,,,,,
, Lillian Gilbreth,,,,,,
,,,,,,,
,When videotaping for a productivity study it is common for the workmen to behave differently due to the presence of camera. This effect is called Hawthorne effect,A,M,Reasoning,Single Choice,Operations,
,TRUE,,,,,,
,FALSE,,,,,,
,,,,,,,
,Current state and future state scenarios are depicted using standard symbols. Which lean manufacturing technique is referred in the above sentence?,B,E,GK,Single Choice,Operations,
, Work Sampling,,,,,,
, Value Stream Mapping,,,,,,
, Foreman delay survey,,,,,,
, Crew Balance Chart,,,,,,
,,,,,,,
,Cost of Quality' is related to,A,E,GK,Single Choice,Operations,
, Dr. Armand V Feigenbaum,,,,,,
, Philip B Crosby,,,,,,
, Dr. K. Ishikawa,,,,,,
, David Garvin,,,,,,
,,,,,,,
,Quality circles' is related to ,C,E,GK,Single Choice,Operations,
, W. Edwards Deming,,,,,,
, Philip B Crosby,,,,,,
, Dr. K. Ishikawa,,,,,,
, Dr.Joseph M. Juran,,,,,,
,,,,,,,
,Economic Control of Manufactured Product is the work of,D,E,GK,Single Choice,Operations,
, W. Edwards Deming,,,,,,
, Philip B Crosby,,,,,,
, Frederick W. Taylor,,,,,,
, Walter A. Shewhart,,,,,,
,,,,,,,
,The diagram that visually depicts the product scope,A,M,Theory,Single Choice,Operations:Project Management,
, Context Diagram,,,,,,
, Affinity Diagram,,,,,,
, Fish bone Diagram,,,,,,
, Influence Diagram,,,,,,
,,,,,,,
,Scope Baseline consist of all the following except,D,M,Theory,Single Choice,Operations:Project Management,
, Project Scope Statement,,,,,,
, WBS,,,,,,
, WBS dictionery,,,,,,
, Scope Management Plan,,,,,,
