,Question,Correct answer,Level,Category,Type,Skills,Answer Description
,"____  is a cross-platform, freemium app designed for making memos, organizing, and archiving.",C,E,GK,Single Choice,Marketing,
,Jing,,,,,,
,Flikr,,,,,,
,Evernote,,,,,,
,Colorsnapper,,,,,,
,,,,,,,
,"______  refers to the process of adding geospatial identification metadata to various types of media such as e-books, narrative documents, web content, images and video and social media applications ",A,M,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) geospatial,,,,,,
,c) geographical,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,"_____  is defined as specifying the geographic location of an object, entity, phenomenon, image, concept, data, or information .",D,H,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) geospatial,,,,,,
,c) geographical,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,____  is defined as the process of finding the mathematical representation of a location..,C,M,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) geospatial,,,,,,
,C) geocoding,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,"_____ sometimes used synonymously with georeferencing in the context of
photographs, satellite images or scanned maps.",B,H,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) georectification,,,,,,
,C) geocoding,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,"____ is the process of converting free-text descriptions of places into unambiguous geographic identifiers, such as geographic coordinates expressed as latitude-longitude.",C,M,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) georectification,,,,,,
,C) geoparsing,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,____ AND ___ are the two components of automatic geotagging tools.,C,H,Theory,Single Choice,Marketing:Digital Marketing,
,"a) geotagging, geocoding",,,,,,
,"b) geocoding, geospatial",,,,,,
,"c) geoparsing, georesolution",,,,,,
,"d) georesolution, geocoding",,,,,,
,,,,,,,
,"____ parses text and defines possible names of geographical places using
Natural Language Processing techniques. ",C,M,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) georectification,,,,,,
,C) geoparsing,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,____ looks up the location names in a gazetteer and resolves ambiguities to suggest the most likely interpretation for each location given its context.,B,H,Theory,Single Choice,Marketing:Digital Marketing,
,A) geotagging,,,,,,
,b) georesolution,,,,,,
,C) geoparsing,,,,,,
,d) georeferencing,,,,,,
,,,,,,,
,"____  is a list of names of geographic places or features, together with their geographic
locations and other descriptive information. ",A,M,Theory,Single Choice,Marketing:Digital Marketing,
,a) gazetteer,,,,,,
,b) thesauri,,,,,,
,c) geotagger,,,,,,
,d) geoparser,,,,,,
,,,,,,,
