,Question,Correct Answer,Level,Category,Type,Skills,Answer Description
,What is Lean philosophy,C,E,Theory,Single Choice,Operations:Lean:Mfg Operations,
, A management philosophy requiring commitment of all employees to quality,,,,,,
, An organizational tool to imbibe the quality philosophy in employees,,,,,,
, An approach to remove wastes from all process,,,,,,
, All of the above,,,,,,
,,,,,,,
,In which phase of the Six Sigma cycle is Hypothesis Testing & ANOVA used,D,E,Theory,Single Choice,Operations:Six Sigma:Quality Assurance,
, Measure,,,,,,
, Analyze,,,,,,
, Control,,,,,,
, Define,,,,,,
,,,,,,,
,"In a variation of the DMAIC methodology, DMADV is also used in organizations. D & V in it stand for?",B,M,Theory,Single Choice,Operations,
, Deduce & Verify,,,,,,
, Design & Validate,,,,,,
, Delegate & Validate,,,,,,
, Design & Verify,,,,,,
,,,,,,,
,"Under the Six Sigma methodology, it is assumed that the mean of a process shifts by __ due to natural variation",D,H,Theory,Single Choice,Operations:Six Sigma:Quality Assurance,
, ±2σ,,,,,,
, ±3σ,,,,,,
, ±2.5σ,,,,,,
, ±1.5σ,,,,,,
,,,,,,,
,What does PPAP stand for?,D,H,Theory,Single Choice,Operations:Mfg Operations,
, Production Procedure Assignment Process,,,,,,
, Production Process Analysis Procedure,,,,,,
, Project Procedure Assignment Process,,,,,,
, Production Part Approval Process,,,,,,
,,,,,,,
,The process of translating VOC into technical features of the product is called,B,E,Theory,Single Choice,Operations:Quality Assurance,
, Product Analysis,,,,,,
, Quality Function Deployment,,,,,,
, Reliability Testing,,,,,,
, Quality Assurance,,,,,,
,,,,,,,
,"a) Pareto Analysis
b) ANOVA
c) Factorial Design
d) CTQ Tree
1. Define
2. Measure
3. Analyze
4. Improve
Match the Following as per Six Sigma DMAIC Cycle",D,H,Theory,Single Choice,Operations,
, 1.-d) 2-b) 3-c) 4-a),,,,,,
, 1-b) 2-c) 3-d) 4-a),,,,,,
, 1-c) 2-b) 3-a) 4-d),,,,,,
, 1-d) 2-a) 3-b) 4-c),,,,,,
,,,,,,,
,"a) Process Capability
b) Hypothesis Testing
c) DOE
d) CTQ Tree
1. Define
2. Measure
3. Analyze
4. Improve
Match the Following as per SIx Sigma DMAIC Cycle",D,H,Theory,Single Choice,Operations:Mfg Operations:Production,
, 1.-d) 2-b) 3-c) 4-a),,,,,,
, 1-b) 2-c) 3-d) 4-a),,,,,,
, 1-c) 2-b) 3-a) 4-d),,,,,,
, 1-d) 2-a) 3-b) 4-c),,,,,,
