,Question,Correct answer,Level,Category,Type,Skills,Answer Description
,SEO stands for,A,E,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Search engine optimization,,,,,,
, Search entry optimization,,,,,,
, Search entry operation,,,,,,
, None of these,,,,,,
,,,,,,,
,The process of fetching all the webpages linked to a website is called,A,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Crawling,,,,,,
, Indexing,,,,,,
, Processing,,,,,,
, none of these,,,,,,
,,,,,,,
,The task of crawling can be done by using a software called as,D,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Bot,,,,,,
, Spider,,,,,,
, Crawler,,,,,,
, All of these,,,,,,
,,,,,,,
,"The websites which are fetched by crawler are kept in huge databases , this process is called",B,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Crawling,,,,,,
, Indexing,,,,,,
, Optimizing,,,,,,
, None of these,,,,,,
,,,,,,,
,"There are two types of Seo, they are",A,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, On page and off page Seo,,,,,,
, On page and front page,,,,,,
, On page and back page,,,,,,
, front page and off page,,,,,,
,,,,,,,
,The process of serving different version of page to search engine and also to visitors is called _____ Seo,C,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Fooling,,,,,,
, tapping,,,,,,
, Cloaking,,,,,,
, none of these,,,,,,
,,,,,,,
,Static pages are less friendly than the dynamic pages in SEO,A,M,TF,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, False,,,,,,
, True,,,,,,
,,,,,,,
,Which of the following is the illgeal way of SEO?,D,H,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Writing meta tags,,,,,,
, Link building,,,,,,
, Indexing,,,,,,
, Creating doorway pages,,,,,,
,,,,,,,
,The following are the ways of optimizing the images,D,M,Theory,Single Choice,Marketing:Digital Marketing:SEO/SEM,
, Writing alt tags,,,,,,
, Minimizing the size of image,,,,,,
